epoch: 0	train ppl: 338.8888101155586	val ppl: 187.2953844618528	best val: 187.2953844618528	time (s) spent in epoch: 76.9196560382843
epoch: 1	train ppl: 136.66992298222976	val ppl: 145.28640275549185	best val: 145.28640275549185	time (s) spent in epoch: 76.78974890708923
epoch: 2	train ppl: 92.13174616414109	val ppl: 136.11770352395368	best val: 136.11770352395368	time (s) spent in epoch: 76.91539287567139
epoch: 3	train ppl: 68.63016482721125	val ppl: 136.53575046278547	best val: 136.11770352395368	time (s) spent in epoch: 77.00052571296692
epoch: 4	train ppl: 53.403938422011365	val ppl: 144.30392310505297	best val: 136.11770352395368	time (s) spent in epoch: 77.05934524536133
epoch: 5	train ppl: 42.64590189755913	val ppl: 156.27786722878392	best val: 136.11770352395368	time (s) spent in epoch: 76.97372102737427
epoch: 6	train ppl: 34.407153384327025	val ppl: 172.11422779064412	best val: 136.11770352395368	time (s) spent in epoch: 77.00169777870178
epoch: 7	train ppl: 28.186840901036465	val ppl: 193.0283352201075	best val: 136.11770352395368	time (s) spent in epoch: 77.01204252243042
epoch: 8	train ppl: 23.487291322770307	val ppl: 220.47969998917145	best val: 136.11770352395368	time (s) spent in epoch: 77.01367712020874
epoch: 9	train ppl: 19.81394184395618	val ppl: 250.90530937114417	best val: 136.11770352395368	time (s) spent in epoch: 76.95365977287292
epoch: 10	train ppl: 16.97523488181688	val ppl: 287.1745639614975	best val: 136.11770352395368	time (s) spent in epoch: 76.97251772880554
epoch: 11	train ppl: 14.72269207464953	val ppl: 327.2391914194041	best val: 136.11770352395368	time (s) spent in epoch: 76.95608282089233
epoch: 12	train ppl: 12.96290343212417	val ppl: 371.32276477066705	best val: 136.11770352395368	time (s) spent in epoch: 76.97487258911133
epoch: 13	train ppl: 11.554168461374111	val ppl: 419.0142330303963	best val: 136.11770352395368	time (s) spent in epoch: 77.11357188224792
epoch: 14	train ppl: 10.410341374841718	val ppl: 469.6058402710665	best val: 136.11770352395368	time (s) spent in epoch: 77.52049326896667
epoch: 15	train ppl: 9.461608693445514	val ppl: 529.4126174032641	best val: 136.11770352395368	time (s) spent in epoch: 77.81448888778687
epoch: 16	train ppl: 8.660786082585513	val ppl: 595.8527177102904	best val: 136.11770352395368	time (s) spent in epoch: 78.03233814239502
epoch: 17	train ppl: 8.003885534839435	val ppl: 663.6521753359883	best val: 136.11770352395368	time (s) spent in epoch: 78.01544117927551
epoch: 18	train ppl: 7.464957485517463	val ppl: 731.1928485454431	best val: 136.11770352395368	time (s) spent in epoch: 78.02385663986206
epoch: 19	train ppl: 6.971866845382714	val ppl: 813.0536365546905	best val: 136.11770352395368	time (s) spent in epoch: 78.01840877532959
epoch: 20	train ppl: 6.544165786388609	val ppl: 917.5842599628278	best val: 136.11770352395368	time (s) spent in epoch: 78.01999044418335
epoch: 21	train ppl: 6.181943115915184	val ppl: 1014.0446694948722	best val: 136.11770352395368	time (s) spent in epoch: 78.09614682197571
epoch: 22	train ppl: 5.880466459959498	val ppl: 1095.6539791311973	best val: 136.11770352395368	time (s) spent in epoch: 78.04195261001587
epoch: 23	train ppl: 5.582667514592258	val ppl: 1231.8392146729843	best val: 136.11770352395368	time (s) spent in epoch: 78.01114106178284
epoch: 24	train ppl: 5.352856165171511	val ppl: 1349.4831867862206	best val: 136.11770352395368	time (s) spent in epoch: 78.00064396858215
epoch: 25	train ppl: 5.122647474444879	val ppl: 1467.3629906086785	best val: 136.11770352395368	time (s) spent in epoch: 78.02195191383362
epoch: 26	train ppl: 4.935541354265446	val ppl: 1651.778831831992	best val: 136.11770352395368	time (s) spent in epoch: 78.00706267356873
epoch: 27	train ppl: 4.737951818023222	val ppl: 1839.9652785400208	best val: 136.11770352395368	time (s) spent in epoch: 78.01905798912048
epoch: 28	train ppl: 4.576765050133662	val ppl: 1996.8975600717256	best val: 136.11770352395368	time (s) spent in epoch: 78.02598643302917
epoch: 29	train ppl: 4.442848742555056	val ppl: 2172.4531394739597	best val: 136.11770352395368	time (s) spent in epoch: 78.00148963928223
epoch: 30	train ppl: 4.2964772988021345	val ppl: 2353.1901206623797	best val: 136.11770352395368	time (s) spent in epoch: 78.01775574684143
epoch: 31	train ppl: 4.176635650885199	val ppl: 2521.400569762585	best val: 136.11770352395368	time (s) spent in epoch: 78.02319550514221
epoch: 32	train ppl: 4.059794858315575	val ppl: 2669.4149615592178	best val: 136.11770352395368	time (s) spent in epoch: 78.02234625816345
epoch: 33	train ppl: 3.961429233921582	val ppl: 2788.642121932254	best val: 136.11770352395368	time (s) spent in epoch: 78.00203847885132
epoch: 34	train ppl: 3.862112332069309	val ppl: 3010.102514626169	best val: 136.11770352395368	time (s) spent in epoch: 78.0169038772583
epoch: 35	train ppl: 3.7646386047479234	val ppl: 3241.505313081738	best val: 136.11770352395368	time (s) spent in epoch: 77.75836491584778
epoch: 36	train ppl: 3.6914811235412484	val ppl: 3509.570855554775	best val: 136.11770352395368	time (s) spent in epoch: 77.6880099773407
epoch: 37	train ppl: 3.607775057794828	val ppl: 3593.963188057072	best val: 136.11770352395368	time (s) spent in epoch: 77.55482482910156
epoch: 38	train ppl: 3.535285007139901	val ppl: 3921.3593456542512	best val: 136.11770352395368	time (s) spent in epoch: 77.57562494277954
epoch: 39	train ppl: 3.4737406992410444	val ppl: 4019.915804578007	best val: 136.11770352395368	time (s) spent in epoch: 77.61863899230957
