epoch: 0	train ppl: 497.28148484539673	val ppl: 291.990835502677	best val: 291.990835502677	time (s) spent in epoch: 471.7914650440216
epoch: 1	train ppl: 288.93930954730024	val ppl: 220.0393042526394	best val: 220.0393042526394	time (s) spent in epoch: 471.55797958374023
epoch: 2	train ppl: 228.68998623452927	val ppl: 183.9958992964837	best val: 183.9958992964837	time (s) spent in epoch: 471.59960746765137
epoch: 3	train ppl: 193.00403541900195	val ppl: 165.53503130935314	best val: 165.53503130935314	time (s) spent in epoch: 471.55006647109985
epoch: 4	train ppl: 168.44553063686044	val ppl: 149.14665307718857	best val: 149.14665307718857	time (s) spent in epoch: 471.5172004699707
epoch: 5	train ppl: 149.5736315686639	val ppl: 138.38563339997435	best val: 138.38563339997435	time (s) spent in epoch: 471.5413053035736
epoch: 6	train ppl: 134.83607566124533	val ppl: 130.80227342670113	best val: 130.80227342670113	time (s) spent in epoch: 471.55137515068054
epoch: 7	train ppl: 122.9587652699597	val ppl: 124.22829935217958	best val: 124.22829935217958	time (s) spent in epoch: 471.32898449897766
epoch: 8	train ppl: 112.99458023109602	val ppl: 119.9002890948167	best val: 119.9002890948167	time (s) spent in epoch: 471.6144390106201
epoch: 9	train ppl: 104.45494540190207	val ppl: 116.73950378080428	best val: 116.73950378080428	time (s) spent in epoch: 471.64618730545044
epoch: 10	train ppl: 97.12979830065693	val ppl: 114.45464226188703	best val: 114.45464226188703	time (s) spent in epoch: 471.66558957099915
epoch: 11	train ppl: 90.59971738525361	val ppl: 112.97246253278269	best val: 112.97246253278269	time (s) spent in epoch: 471.6640329360962
epoch: 12	train ppl: 84.84456193704334	val ppl: 112.16986087965337	best val: 112.16986087965337	time (s) spent in epoch: 471.6469271183014
epoch: 13	train ppl: 79.80604894503982	val ppl: 111.17362669343696	best val: 111.17362669343696	time (s) spent in epoch: 471.66432881355286
epoch: 14	train ppl: 74.80833160496863	val ppl: 111.41868491807334	best val: 111.17362669343696	time (s) spent in epoch: 471.619069814682
epoch: 15	train ppl: 70.62220991509797	val ppl: 111.33552806928384	best val: 111.17362669343696	time (s) spent in epoch: 471.582243680954
epoch: 16	train ppl: 66.59118886959075	val ppl: 112.10201905133007	best val: 111.17362669343696	time (s) spent in epoch: 471.64689350128174
epoch: 17	train ppl: 62.96302303110742	val ppl: 113.59531555605984	best val: 111.17362669343696	time (s) spent in epoch: 471.6503117084503
epoch: 18	train ppl: 59.536217654049544	val ppl: 114.06260902507887	best val: 111.17362669343696	time (s) spent in epoch: 471.66880440711975
epoch: 19	train ppl: 56.34258694057072	val ppl: 115.27260351018346	best val: 111.17362669343696	time (s) spent in epoch: 471.6932792663574
epoch: 20	train ppl: 53.48236880507992	val ppl: 117.0358892017836	best val: 111.17362669343696	time (s) spent in epoch: 471.6726129055023
epoch: 21	train ppl: 50.77639887754306	val ppl: 119.26616424780507	best val: 111.17362669343696	time (s) spent in epoch: 471.65988063812256
epoch: 22	train ppl: 48.33247079428272	val ppl: 121.6118819021529	best val: 111.17362669343696	time (s) spent in epoch: 471.5687391757965
epoch: 23	train ppl: 45.93112444532856	val ppl: 123.89852711779858	best val: 111.17362669343696	time (s) spent in epoch: 471.7166049480438
epoch: 24	train ppl: 45.87213084551595	val ppl: 125.77266401224625	best val: 111.17362669343696	time (s) spent in epoch: 471.6374936103821
epoch: 25	train ppl: 42.02155881703203	val ppl: 127.64447548027452	best val: 111.17362669343696	time (s) spent in epoch: 471.6762387752533
epoch: 26	train ppl: 40.11302369099209	val ppl: 129.4336441760546	best val: 111.17362669343696	time (s) spent in epoch: 471.7188503742218
epoch: 27	train ppl: 38.44350396945803	val ppl: 132.71254477921116	best val: 111.17362669343696	time (s) spent in epoch: 471.67697262763977
epoch: 28	train ppl: 36.86775904634257	val ppl: 134.6505384181754	best val: 111.17362669343696	time (s) spent in epoch: 471.1823878288269
epoch: 29	train ppl: 35.35661555156787	val ppl: 137.38043359283424	best val: 111.17362669343696	time (s) spent in epoch: 470.5907905101776
epoch: 30	train ppl: 34.06118562990985	val ppl: 139.1853913600572	best val: 111.17362669343696	time (s) spent in epoch: 470.6740942001343
epoch: 31	train ppl: 32.76855576462903	val ppl: 143.72055793393224	best val: 111.17362669343696	time (s) spent in epoch: 470.62724447250366
epoch: 32	train ppl: 31.585732631146332	val ppl: 145.00559961382586	best val: 111.17362669343696	time (s) spent in epoch: 470.6132471561432
epoch: 33	train ppl: 30.445485656022257	val ppl: 146.14329037592782	best val: 111.17362669343696	time (s) spent in epoch: 471.3716826438904
epoch: 34	train ppl: 29.450407426359554	val ppl: 150.19580092220605	best val: 111.17362669343696	time (s) spent in epoch: 471.53611516952515
epoch: 35	train ppl: 28.47382134304899	val ppl: 151.3551275400491	best val: 111.17362669343696	time (s) spent in epoch: 471.6596510410309
epoch: 36	train ppl: 27.646047875888897	val ppl: 154.19995699299758	best val: 111.17362669343696	time (s) spent in epoch: 471.63906812667847
epoch: 37	train ppl: 26.776285324109644	val ppl: 157.0456811634262	best val: 111.17362669343696	time (s) spent in epoch: 471.7025353908539
epoch: 38	train ppl: 25.849147787721172	val ppl: 158.76227423857316	best val: 111.17362669343696	time (s) spent in epoch: 471.68264722824097
epoch: 39	train ppl: 25.16929287740428	val ppl: 161.9245301108379	best val: 111.17362669343696	time (s) spent in epoch: 471.6935877799988
