epoch: 0	train ppl: 675.4218386917693	val ppl: 371.5638504214918	best val: 371.5638504214918	time (s) spent in epoch: 487.1174192428589
epoch: 1	train ppl: 338.3250763581818	val ppl: 245.8091143327085	best val: 245.8091143327085	time (s) spent in epoch: 486.95280718803406
epoch: 2	train ppl: 264.57283728294954	val ppl: 213.17819647956983	best val: 213.17819647956983	time (s) spent in epoch: 487.03298783302307
epoch: 3	train ppl: 224.9527827432475	val ppl: 184.23821705411956	best val: 184.23821705411956	time (s) spent in epoch: 486.9958119392395
epoch: 4	train ppl: 197.33761785689646	val ppl: 167.28379455483542	best val: 167.28379455483542	time (s) spent in epoch: 486.9510736465454
epoch: 5	train ppl: 177.33535705052427	val ppl: 157.9263211676446	best val: 157.9263211676446	time (s) spent in epoch: 486.9883985519409
epoch: 6	train ppl: 160.9349783766502	val ppl: 142.3450965441219	best val: 142.3450965441219	time (s) spent in epoch: 486.9520752429962
epoch: 7	train ppl: 148.28184119833875	val ppl: 143.894845848049	best val: 142.3450965441219	time (s) spent in epoch: 487.01809430122375
epoch: 8	train ppl: 137.88142388415636	val ppl: 133.14330869118913	best val: 133.14330869118913	time (s) spent in epoch: 486.95318961143494
epoch: 9	train ppl: 128.7440157949444	val ppl: 132.92303844228502	best val: 132.92303844228502	time (s) spent in epoch: 486.9812035560608
epoch: 10	train ppl: 120.91619363175354	val ppl: 124.94841072187411	best val: 124.94841072187411	time (s) spent in epoch: 487.04600834846497
epoch: 11	train ppl: 114.2602817894151	val ppl: 126.384997748887	best val: 124.94841072187411	time (s) spent in epoch: 486.96375799179077
epoch: 12	train ppl: 108.18635761905912	val ppl: 121.77439813659555	best val: 121.77439813659555	time (s) spent in epoch: 486.9740114212036
epoch: 13	train ppl: 102.72177540007756	val ppl: 122.79021770316852	best val: 121.77439813659555	time (s) spent in epoch: 487.0794174671173
epoch: 14	train ppl: 97.71820725026936	val ppl: 117.29300733626056	best val: 117.29300733626056	time (s) spent in epoch: 486.9853627681732
epoch: 15	train ppl: 93.00249054325263	val ppl: 120.16296842234826	best val: 117.29300733626056	time (s) spent in epoch: 487.05638790130615
epoch: 16	train ppl: 88.77498347952113	val ppl: 116.41648307208249	best val: 116.41648307208249	time (s) spent in epoch: 487.05243253707886
epoch: 17	train ppl: 84.89860314831122	val ppl: 114.04819175382063	best val: 114.04819175382063	time (s) spent in epoch: 486.94885754585266
epoch: 18	train ppl: 81.28860473703826	val ppl: 115.37096825622942	best val: 114.04819175382063	time (s) spent in epoch: 486.5746898651123
epoch: 19	train ppl: 77.9360955920417	val ppl: 116.65909193423646	best val: 114.04819175382063	time (s) spent in epoch: 486.1509234905243
epoch: 20	train ppl: 74.77450665995536	val ppl: 113.28463067374443	best val: 113.28463067374443	time (s) spent in epoch: 486.1998336315155
epoch: 21	train ppl: 71.94212468205899	val ppl: 113.1959648136301	best val: 113.1959648136301	time (s) spent in epoch: 486.23771476745605
epoch: 22	train ppl: 69.24348335252375	val ppl: 115.20524640050229	best val: 113.1959648136301	time (s) spent in epoch: 486.196656703949
epoch: 23	train ppl: 66.67688700825721	val ppl: 114.01354705164293	best val: 113.1959648136301	time (s) spent in epoch: 486.262083530426
epoch: 24	train ppl: 64.48527051106092	val ppl: 115.61811135923017	best val: 113.1959648136301	time (s) spent in epoch: 486.26475858688354
epoch: 25	train ppl: 62.267646768786946	val ppl: 115.27051481120122	best val: 113.1959648136301	time (s) spent in epoch: 486.26953983306885
epoch: 26	train ppl: 60.12538248781563	val ppl: 118.78143207279302	best val: 113.1959648136301	time (s) spent in epoch: 486.2704453468323
epoch: 27	train ppl: 58.28358584524336	val ppl: 115.9688897226311	best val: 113.1959648136301	time (s) spent in epoch: 486.23975944519043
epoch: 28	train ppl: 56.409590039963796	val ppl: 116.85684184713091	best val: 113.1959648136301	time (s) spent in epoch: 486.20287251472473
epoch: 29	train ppl: 54.73463226013327	val ppl: 117.25056698241944	best val: 113.1959648136301	time (s) spent in epoch: 486.17645621299744
epoch: 30	train ppl: 53.23881979788609	val ppl: 117.14834376538894	best val: 113.1959648136301	time (s) spent in epoch: 486.23734641075134
epoch: 31	train ppl: 51.70799285164198	val ppl: 117.91084123642466	best val: 113.1959648136301	time (s) spent in epoch: 486.2749824523926
epoch: 32	train ppl: 50.53411180266256	val ppl: 121.70104019192362	best val: 113.1959648136301	time (s) spent in epoch: 486.2655539512634
epoch: 33	train ppl: 49.030210306604815	val ppl: 119.17109624319977	best val: 113.1959648136301	time (s) spent in epoch: 486.2642002105713
epoch: 34	train ppl: 47.885028453284086	val ppl: 119.75937740148785	best val: 113.1959648136301	time (s) spent in epoch: 486.27572870254517
epoch: 35	train ppl: 46.84442656071476	val ppl: 122.54207677216978	best val: 113.1959648136301	time (s) spent in epoch: 486.2262933254242
epoch: 36	train ppl: 45.658072966427795	val ppl: 122.99765493957614	best val: 113.1959648136301	time (s) spent in epoch: 486.21160554885864
epoch: 37	train ppl: 44.75213065061555	val ppl: 124.66315135590399	best val: 113.1959648136301	time (s) spent in epoch: 486.27004957199097
epoch: 38	train ppl: 43.74965645743392	val ppl: 124.7054552406466	best val: 113.1959648136301	time (s) spent in epoch: 486.15929651260376
epoch: 39	train ppl: 42.87980800607639	val ppl: 124.92300654032114	best val: 113.1959648136301	time (s) spent in epoch: 486.1797423362732
