epoch: 0	train ppl: 550.7026898964001	val ppl: 320.7139197648873	best val: 320.7139197648873	time (s) spent in epoch: 167.78673362731934
epoch: 1	train ppl: 344.6051406444245	val ppl: 261.26298301752325	best val: 261.26298301752325	time (s) spent in epoch: 167.6980803012848
epoch: 2	train ppl: 288.7205925230764	val ppl: 233.68645410997888	best val: 233.68645410997888	time (s) spent in epoch: 167.70984196662903
epoch: 3	train ppl: 257.0991370023241	val ppl: 221.01499885682657	best val: 221.01499885682657	time (s) spent in epoch: 167.68845415115356
epoch: 4	train ppl: 235.81067598487817	val ppl: 212.89480607381967	best val: 212.89480607381967	time (s) spent in epoch: 167.66549849510193
epoch: 5	train ppl: 220.09741553909376	val ppl: 197.6606634807609	best val: 197.6606634807609	time (s) spent in epoch: 167.67872262001038
epoch: 6	train ppl: 207.09979654983263	val ppl: 194.54186830008575	best val: 194.54186830008575	time (s) spent in epoch: 167.6840136051178
epoch: 7	train ppl: 196.8312330547161	val ppl: 186.28664201425454	best val: 186.28664201425454	time (s) spent in epoch: 167.66419458389282
epoch: 8	train ppl: 188.10672986591385	val ppl: 189.6940054609712	best val: 186.28664201425454	time (s) spent in epoch: 167.68867111206055
epoch: 9	train ppl: 180.3098240700724	val ppl: 181.45337998130722	best val: 181.45337998130722	time (s) spent in epoch: 167.69176578521729
epoch: 10	train ppl: 174.31228075329312	val ppl: 177.71807162038453	best val: 177.71807162038453	time (s) spent in epoch: 167.67351651191711
epoch: 11	train ppl: 169.05050684161836	val ppl: 179.3650498225697	best val: 177.71807162038453	time (s) spent in epoch: 167.66508984565735
epoch: 12	train ppl: 163.7079290114443	val ppl: 173.63987633733657	best val: 173.63987633733657	time (s) spent in epoch: 167.67324423789978
epoch: 13	train ppl: 159.57853422088857	val ppl: 182.88119582575513	best val: 173.63987633733657	time (s) spent in epoch: 167.6759307384491
epoch: 14	train ppl: 155.38504843636923	val ppl: 173.15162310631234	best val: 173.15162310631234	time (s) spent in epoch: 167.66754484176636
epoch: 15	train ppl: 151.8025570841151	val ppl: 176.62048245224318	best val: 173.15162310631234	time (s) spent in epoch: 167.66504859924316
epoch: 16	train ppl: 148.11963516086442	val ppl: 174.12747911339457	best val: 173.15162310631234	time (s) spent in epoch: 167.68563961982727
epoch: 17	train ppl: 145.52063762214829	val ppl: 171.54972465318005	best val: 171.54972465318005	time (s) spent in epoch: 167.66305232048035
epoch: 18	train ppl: 142.1825400848877	val ppl: 170.79198262545583	best val: 170.79198262545583	time (s) spent in epoch: 167.66875505447388
epoch: 19	train ppl: 139.46156046380023	val ppl: 172.58643782605483	best val: 170.79198262545583	time (s) spent in epoch: 167.68056750297546
epoch: 20	train ppl: 137.11743226421387	val ppl: 172.74102908762129	best val: 170.79198262545583	time (s) spent in epoch: 167.66423654556274
epoch: 21	train ppl: 134.81314916700947	val ppl: 169.89649293264037	best val: 169.89649293264037	time (s) spent in epoch: 167.67219519615173
epoch: 22	train ppl: 133.16215039562653	val ppl: 173.6009605693499	best val: 169.89649293264037	time (s) spent in epoch: 167.6723928451538
epoch: 23	train ppl: 131.5213439007767	val ppl: 168.6179493381016	best val: 168.6179493381016	time (s) spent in epoch: 167.66279888153076
epoch: 24	train ppl: 129.3697634240338	val ppl: 172.22811912114992	best val: 168.6179493381016	time (s) spent in epoch: 167.6512303352356
epoch: 25	train ppl: 127.40126026242025	val ppl: 170.8041652255658	best val: 168.6179493381016	time (s) spent in epoch: 167.65369296073914
epoch: 26	train ppl: 125.98306128299315	val ppl: 176.11291396776468	best val: 168.6179493381016	time (s) spent in epoch: 167.20794463157654
epoch: 27	train ppl: 124.64699178924313	val ppl: 171.52969709275936	best val: 168.6179493381016	time (s) spent in epoch: 167.20153045654297
epoch: 28	train ppl: 123.14052909229127	val ppl: 170.8570442458846	best val: 168.6179493381016	time (s) spent in epoch: 167.20973086357117
epoch: 29	train ppl: 121.79497864424657	val ppl: 172.44888172471386	best val: 168.6179493381016	time (s) spent in epoch: 167.20717930793762
epoch: 30	train ppl: 120.51078686957212	val ppl: 175.18093197459652	best val: 168.6179493381016	time (s) spent in epoch: 167.21506476402283
epoch: 31	train ppl: 119.15618426993221	val ppl: 173.6717450060216	best val: 168.6179493381016	time (s) spent in epoch: 167.1869969367981
epoch: 32	train ppl: 118.33334088471095	val ppl: 174.02449816614592	best val: 168.6179493381016	time (s) spent in epoch: 167.2252058982849
epoch: 33	train ppl: 117.23698149133044	val ppl: 175.6731985886076	best val: 168.6179493381016	time (s) spent in epoch: 167.20615673065186
epoch: 34	train ppl: 115.92011393519562	val ppl: 175.71012460934935	best val: 168.6179493381016	time (s) spent in epoch: 167.20107293128967
epoch: 35	train ppl: 114.97208785705611	val ppl: 179.9955104847123	best val: 168.6179493381016	time (s) spent in epoch: 167.19979619979858
