epoch: 0	train ppl: 475.83390728452633	val ppl: 432.02884975892056	best val: 432.02884975892056	time (s) spent in epoch: 166.70316982269287
epoch: 1	train ppl: 274.9735789168107	val ppl: 307.57751355492474	best val: 307.57751355492474	time (s) spent in epoch: 166.59093189239502
epoch: 2	train ppl: 233.17027509995324	val ppl: 278.0494497063494	best val: 278.0494497063494	time (s) spent in epoch: 166.6207230091095
epoch: 3	train ppl: 212.40154721591819	val ppl: 269.3638284920692	best val: 269.3638284920692	time (s) spent in epoch: 166.6423864364624
epoch: 4	train ppl: 200.62251209565528	val ppl: 260.93432257981067	best val: 260.93432257981067	time (s) spent in epoch: 166.59188771247864
epoch: 5	train ppl: 192.27071067202854	val ppl: 257.2311193804933	best val: 257.2311193804933	time (s) spent in epoch: 166.60462760925293
epoch: 6	train ppl: 186.70222188205392	val ppl: 250.5674428811693	best val: 250.5674428811693	time (s) spent in epoch: 166.59861612319946
epoch: 7	train ppl: 182.32867961821879	val ppl: 247.81709315571243	best val: 247.81709315571243	time (s) spent in epoch: 166.54795384407043
epoch: 8	train ppl: 179.0666966156233	val ppl: 246.27867901985536	best val: 246.27867901985536	time (s) spent in epoch: 166.56954956054688
epoch: 9	train ppl: 176.7494634346852	val ppl: 242.53523085856992	best val: 242.53523085856992	time (s) spent in epoch: 166.5624086856842
epoch: 10	train ppl: 174.46055489220012	val ppl: 244.02572953476135	best val: 242.53523085856992	time (s) spent in epoch: 166.48218750953674
epoch: 11	train ppl: 173.32105767181562	val ppl: 242.37015720131078	best val: 242.37015720131078	time (s) spent in epoch: 165.93749809265137
epoch: 12	train ppl: 172.50810200766207	val ppl: 245.25192374604143	best val: 242.37015720131078	time (s) spent in epoch: 167.36216855049133
epoch: 13	train ppl: 170.79337738812922	val ppl: 239.85289861326515	best val: 239.85289861326515	time (s) spent in epoch: 167.30052971839905
epoch: 14	train ppl: 169.58033975221161	val ppl: 241.45308109662614	best val: 239.85289861326515	time (s) spent in epoch: 167.0240330696106
epoch: 15	train ppl: 168.49875472584992	val ppl: 243.14593917114337	best val: 239.85289861326515	time (s) spent in epoch: 167.05548644065857
epoch: 16	train ppl: 168.06535964540276	val ppl: 238.5510272942063	best val: 238.5510272942063	time (s) spent in epoch: 167.03658986091614
epoch: 17	train ppl: 167.66280818960072	val ppl: 240.2303472167364	best val: 238.5510272942063	time (s) spent in epoch: 167.06203937530518
epoch: 18	train ppl: 167.0428650470277	val ppl: 241.2955143576134	best val: 238.5510272942063	time (s) spent in epoch: 167.12694096565247
epoch: 19	train ppl: 166.45860432214286	val ppl: 239.5885976655081	best val: 238.5510272942063	time (s) spent in epoch: 167.13506817817688
epoch: 20	train ppl: 165.66182598906104	val ppl: 242.9461462311731	best val: 238.5510272942063	time (s) spent in epoch: 167.1349229812622
epoch: 21	train ppl: 165.44401438828007	val ppl: 244.3762225750676	best val: 238.5510272942063	time (s) spent in epoch: 167.13605999946594
epoch: 22	train ppl: 165.68626413441586	val ppl: 241.67067042790495	best val: 238.5510272942063	time (s) spent in epoch: 167.11236000061035
epoch: 23	train ppl: 165.63669816270064	val ppl: 241.479714452758	best val: 238.5510272942063	time (s) spent in epoch: 167.10406494140625
epoch: 24	train ppl: 164.94177768835502	val ppl: 239.44609831767474	best val: 238.5510272942063	time (s) spent in epoch: 167.09306502342224
epoch: 25	train ppl: 165.25276585796416	val ppl: 246.19291148762798	best val: 238.5510272942063	time (s) spent in epoch: 167.10818481445312
epoch: 26	train ppl: 164.92106487561824	val ppl: 243.6320869625995	best val: 238.5510272942063	time (s) spent in epoch: 167.07808756828308
epoch: 27	train ppl: 165.79354004671356	val ppl: 243.08164388599445	best val: 238.5510272942063	time (s) spent in epoch: 167.07953190803528
epoch: 28	train ppl: 165.2028605351108	val ppl: 242.49298260333765	best val: 238.5510272942063	time (s) spent in epoch: 167.0784204006195
epoch: 29	train ppl: 164.13417921414748	val ppl: 244.5798848632977	best val: 238.5510272942063	time (s) spent in epoch: 167.08129620552063
epoch: 30	train ppl: 164.17153849824837	val ppl: 241.28749993541456	best val: 238.5510272942063	time (s) spent in epoch: 167.10203981399536
epoch: 31	train ppl: 163.1010328515491	val ppl: 243.36189908212816	best val: 238.5510272942063	time (s) spent in epoch: 167.0740463733673
epoch: 32	train ppl: 163.50988438820818	val ppl: 245.57143236855134	best val: 238.5510272942063	time (s) spent in epoch: 167.0605926513672
epoch: 33	train ppl: 163.27733229807745	val ppl: 242.89298608925216	best val: 238.5510272942063	time (s) spent in epoch: 167.08341479301453
epoch: 34	train ppl: 163.06416358633945	val ppl: 248.7626147248233	best val: 238.5510272942063	time (s) spent in epoch: 167.06996774673462
epoch: 35	train ppl: 162.18569422491873	val ppl: 246.34657304541216	best val: 238.5510272942063	time (s) spent in epoch: 167.1282343864441
epoch: 36	train ppl: 161.5444290010606	val ppl: 245.72016570797115	best val: 238.5510272942063	time (s) spent in epoch: 167.0963110923767
epoch: 37	train ppl: 161.09614083453621	val ppl: 245.33046504186942	best val: 238.5510272942063	time (s) spent in epoch: 167.12662529945374
epoch: 38	train ppl: 161.14911442041043	val ppl: 241.71488968253635	best val: 238.5510272942063	time (s) spent in epoch: 167.10287427902222
epoch: 39	train ppl: 160.5254297120064	val ppl: 245.7442669868529	best val: 238.5510272942063	time (s) spent in epoch: 167.08630514144897
