epoch: 0	train ppl: 16041.483525122827	val ppl: 1516.8785502744988	best val: 1516.8785502744988	time (s) spent in epoch: 215.84188294410706
epoch: 1	train ppl: 768.5792273982318	val ppl: 471.74784873890184	best val: 471.74784873890184	time (s) spent in epoch: 215.66320395469666
epoch: 2	train ppl: 393.2723722684135	val ppl: 330.19928659483924	best val: 330.19928659483924	time (s) spent in epoch: 215.62348866462708
epoch: 3	train ppl: 278.39767088386327	val ppl: 312.74820724963996	best val: 312.74820724963996	time (s) spent in epoch: 215.60121893882751
epoch: 4	train ppl: 219.26797041327185	val ppl: 229.12715974097205	best val: 229.12715974097205	time (s) spent in epoch: 214.45118498802185
epoch: 5	train ppl: 177.8950797415702	val ppl: 182.28029854449687	best val: 182.28029854449687	time (s) spent in epoch: 214.7452094554901
epoch: 6	train ppl: 150.84231902451836	val ppl: 181.26696171100537	best val: 181.26696171100537	time (s) spent in epoch: 214.8589940071106
epoch: 7	train ppl: 130.79927941201228	val ppl: 164.95633597495575	best val: 164.95633597495575	time (s) spent in epoch: 214.7411196231842
epoch: 8	train ppl: 116.09228184638339	val ppl: 180.25793401421325	best val: 164.95633597495575	time (s) spent in epoch: 214.8508701324463
epoch: 9	train ppl: 103.50374215387379	val ppl: 172.848746554047	best val: 164.95633597495575	time (s) spent in epoch: 214.74564123153687
epoch: 10	train ppl: 91.65964618983271	val ppl: 156.45118989142154	best val: 156.45118989142154	time (s) spent in epoch: 214.6985387802124
epoch: 11	train ppl: 81.87019936696275	val ppl: 162.85523821238863	best val: 156.45118989142154	time (s) spent in epoch: 214.72741675376892
epoch: 12	train ppl: 72.86152510374598	val ppl: 178.7799156463271	best val: 156.45118989142154	time (s) spent in epoch: 214.69513583183289
epoch: 13	train ppl: 65.58424421109532	val ppl: 181.92181861286355	best val: 156.45118989142154	time (s) spent in epoch: 214.68975234031677
epoch: 14	train ppl: 58.147000413223815	val ppl: 191.00177834032354	best val: 156.45118989142154	time (s) spent in epoch: 214.7024130821228
epoch: 15	train ppl: 46.92092743303276	val ppl: 183.2374368979953	best val: 156.45118989142154	time (s) spent in epoch: 214.73047995567322
epoch: 16	train ppl: 36.10226164580666	val ppl: 199.2622260634335	best val: 156.45118989142154	time (s) spent in epoch: 214.71774530410767
epoch: 17	train ppl: 28.21246620517096	val ppl: 212.52472518836066	best val: 156.45118989142154	time (s) spent in epoch: 214.7225694656372
epoch: 18	train ppl: 23.30509875293423	val ppl: 239.23048337192046	best val: 156.45118989142154	time (s) spent in epoch: 214.71544861793518
epoch: 19	train ppl: 20.58537545816157	val ppl: 258.26778685570696	best val: 156.45118989142154	time (s) spent in epoch: 214.71887183189392
epoch: 20	train ppl: 19.23258031128062	val ppl: 264.4099752290555	best val: 156.45118989142154	time (s) spent in epoch: 214.6048300266266
epoch: 21	train ppl: 18.552005670438184	val ppl: 263.41512604730343	best val: 156.45118989142154	time (s) spent in epoch: 212.3394694328308
epoch: 22	train ppl: 18.293552832893052	val ppl: 259.45939132310355	best val: 156.45118989142154	time (s) spent in epoch: 212.14820742607117
epoch: 23	train ppl: 18.183963681341503	val ppl: 256.0674184773008	best val: 156.45118989142154	time (s) spent in epoch: 211.9235816001892
epoch: 24	train ppl: 18.11308438336516	val ppl: 255.015147804355	best val: 156.45118989142154	time (s) spent in epoch: 211.91486978530884
epoch: 25	train ppl: 18.110751857353996	val ppl: 254.79702109143267	best val: 156.45118989142154	time (s) spent in epoch: 212.20215034484863
epoch: 26	train ppl: 18.08921988979597	val ppl: 254.76102644368655	best val: 156.45118989142154	time (s) spent in epoch: 211.97105073928833
epoch: 27	train ppl: 18.106735461123087	val ppl: 254.7550778127029	best val: 156.45118989142154	time (s) spent in epoch: 211.92553758621216
epoch: 28	train ppl: 18.10699727651253	val ppl: 254.75446663385284	best val: 156.45118989142154	time (s) spent in epoch: 211.85789823532104
epoch: 29	train ppl: 18.10770778839505	val ppl: 254.75439450725298	best val: 156.45118989142154	time (s) spent in epoch: 211.81161832809448
epoch: 30	train ppl: 18.116496838045787	val ppl: 254.75442867248196	best val: 156.45118989142154	time (s) spent in epoch: 211.82943391799927
epoch: 31	train ppl: 18.11418623832414	val ppl: 254.7544172840718	best val: 156.45118989142154	time (s) spent in epoch: 211.76875376701355
epoch: 32	train ppl: 18.12637941035316	val ppl: 254.7544172840718	best val: 156.45118989142154	time (s) spent in epoch: 211.95317769050598
epoch: 33	train ppl: 18.121014386858832	val ppl: 254.7544172840718	best val: 156.45118989142154	time (s) spent in epoch: 211.92253518104553
epoch: 34	train ppl: 18.091966897475388	val ppl: 254.7544172840718	best val: 156.45118989142154	time (s) spent in epoch: 212.18531942367554
epoch: 35	train ppl: 18.104882340175134	val ppl: 254.7544172840718	best val: 156.45118989142154	time (s) spent in epoch: 212.17181825637817
epoch: 36	train ppl: 18.107359161081668	val ppl: 254.7544172840718	best val: 156.45118989142154	time (s) spent in epoch: 212.0012605190277
epoch: 37	train ppl: 18.129738261155307	val ppl: 254.7544172840718	best val: 156.45118989142154	time (s) spent in epoch: 211.89400720596313
epoch: 38	train ppl: 18.109672133434653	val ppl: 254.7544172840718	best val: 156.45118989142154	time (s) spent in epoch: 211.90895080566406
epoch: 39	train ppl: 18.08810259499977	val ppl: 254.7544172840718	best val: 156.45118989142154	time (s) spent in epoch: 211.86542534828186
