epoch: 0	train ppl: 7285.852320577459	val ppl: 1672.1972772377953	best val: 1672.1972772377953	time (s) spent in epoch: 216.73220872879028
epoch: 1	train ppl: 556.3479199206163	val ppl: 334.08016608616526	best val: 334.08016608616526	time (s) spent in epoch: 216.4667432308197
epoch: 2	train ppl: 300.64448112249556	val ppl: 261.3047675815228	best val: 261.3047675815228	time (s) spent in epoch: 216.48611307144165
epoch: 3	train ppl: 215.88599659291685	val ppl: 211.96594881350816	best val: 211.96594881350816	time (s) spent in epoch: 216.11328148841858
epoch: 4	train ppl: 169.35042733774344	val ppl: 187.262621941957	best val: 187.262621941957	time (s) spent in epoch: 214.06837272644043
epoch: 5	train ppl: 138.9078589937948	val ppl: 167.0913185670086	best val: 167.0913185670086	time (s) spent in epoch: 213.90438532829285
epoch: 6	train ppl: 118.10896662379096	val ppl: 173.69915453618736	best val: 167.0913185670086	time (s) spent in epoch: 213.883695602417
epoch: 7	train ppl: 101.80294378215106	val ppl: 163.29510366884352	best val: 163.29510366884352	time (s) spent in epoch: 213.82256865501404
epoch: 8	train ppl: 88.80954105313373	val ppl: 164.3616281678254	best val: 163.29510366884352	time (s) spent in epoch: 213.7678201198578
epoch: 9	train ppl: 76.95957830341632	val ppl: 164.28888160907348	best val: 163.29510366884352	time (s) spent in epoch: 213.7324287891388
epoch: 10	train ppl: 66.93476272439372	val ppl: 167.07392783719365	best val: 163.29510366884352	time (s) spent in epoch: 213.6766324043274
epoch: 11	train ppl: 58.920236303902165	val ppl: 174.37636939096507	best val: 163.29510366884352	time (s) spent in epoch: 213.69404530525208
epoch: 12	train ppl: 51.62591999079488	val ppl: 178.17948183205607	best val: 163.29510366884352	time (s) spent in epoch: 213.75092935562134
epoch: 13	train ppl: 45.42044388025993	val ppl: 210.2043448764804	best val: 163.29510366884352	time (s) spent in epoch: 213.68153643608093
epoch: 14	train ppl: 40.42992059621361	val ppl: 201.35198793961683	best val: 163.29510366884352	time (s) spent in epoch: 213.7420289516449
epoch: 15	train ppl: 35.82011087618984	val ppl: 222.97496943698516	best val: 163.29510366884352	time (s) spent in epoch: 213.7457835674286
epoch: 16	train ppl: 31.73950041131149	val ppl: 242.97729987466207	best val: 163.29510366884352	time (s) spent in epoch: 213.73779940605164
epoch: 17	train ppl: 28.380867393722937	val ppl: 265.97567016114084	best val: 163.29510366884352	time (s) spent in epoch: 213.6880030632019
epoch: 18	train ppl: 25.274215516971793	val ppl: 270.95734744377853	best val: 163.29510366884352	time (s) spent in epoch: 213.71439337730408
epoch: 19	train ppl: 22.772597051695804	val ppl: 353.3649034908347	best val: 163.29510366884352	time (s) spent in epoch: 213.70825934410095
epoch: 20	train ppl: 20.59614730654223	val ppl: 378.1879378623798	best val: 163.29510366884352	time (s) spent in epoch: 213.73737359046936
epoch: 21	train ppl: 18.657149974824804	val ppl: 377.76177263340827	best val: 163.29510366884352	time (s) spent in epoch: 213.75428986549377
epoch: 22	train ppl: 16.90677256954662	val ppl: 393.6616883270004	best val: 163.29510366884352	time (s) spent in epoch: 213.82924699783325
epoch: 23	train ppl: 15.329571100158828	val ppl: 500.18014508715413	best val: 163.29510366884352	time (s) spent in epoch: 213.70121002197266
epoch: 24	train ppl: 14.138688400596292	val ppl: 537.3322287381711	best val: 163.29510366884352	time (s) spent in epoch: 213.7803328037262
epoch: 25	train ppl: 13.08927323157507	val ppl: 575.0247978954934	best val: 163.29510366884352	time (s) spent in epoch: 213.69675993919373
epoch: 26	train ppl: 11.995672163842768	val ppl: 616.9323767219113	best val: 163.29510366884352	time (s) spent in epoch: 213.73177003860474
epoch: 27	train ppl: 11.046972720000927	val ppl: 655.1127102749505	best val: 163.29510366884352	time (s) spent in epoch: 213.7577567100525
epoch: 28	train ppl: 10.2720992060832	val ppl: 757.091815153001	best val: 163.29510366884352	time (s) spent in epoch: 213.70452404022217
epoch: 29	train ppl: 9.539259325338623	val ppl: 916.3332891428698	best val: 163.29510366884352	time (s) spent in epoch: 213.74919962882996
epoch: 30	train ppl: 9.043709150782517	val ppl: 838.56389451186	best val: 163.29510366884352	time (s) spent in epoch: 213.7031102180481
epoch: 31	train ppl: 8.460898714731963	val ppl: 865.3663876289801	best val: 163.29510366884352	time (s) spent in epoch: 213.73478174209595
epoch: 32	train ppl: 7.969097044235353	val ppl: 1138.0544153041167	best val: 163.29510366884352	time (s) spent in epoch: 213.75227212905884
epoch: 33	train ppl: 7.484872252163675	val ppl: 1178.6881750256891	best val: 163.29510366884352	time (s) spent in epoch: 213.69847559928894
epoch: 34	train ppl: 7.163658765901876	val ppl: 1064.418234836713	best val: 163.29510366884352	time (s) spent in epoch: 213.70413494110107
epoch: 35	train ppl: 6.813681739127062	val ppl: 1372.3052607322913	best val: 163.29510366884352	time (s) spent in epoch: 213.71227550506592
epoch: 36	train ppl: 6.41113065778148	val ppl: 1389.7879201689925	best val: 163.29510366884352	time (s) spent in epoch: 213.7622048854828
epoch: 37	train ppl: 6.209012011772626	val ppl: 1352.79331848316	best val: 163.29510366884352	time (s) spent in epoch: 213.6985583305359
epoch: 38	train ppl: 5.94803356654241	val ppl: 1448.0219461814554	best val: 163.29510366884352	time (s) spent in epoch: 213.71420288085938
epoch: 39	train ppl: 5.692454143760287	val ppl: 1377.0312985487747	best val: 163.29510366884352	time (s) spent in epoch: 213.72057557106018
