epoch: 0	train ppl: 322420.81233332143	val ppl: 301172.12062147795	best val: 301172.12062147795	time (s) spent in epoch: 167.80219841003418
epoch: 1	train ppl: 3836.716707101648	val ppl: 4150.017486949466	best val: 4150.017486949466	time (s) spent in epoch: 167.97987484931946
epoch: 2	train ppl: 1113.2004970447651	val ppl: 2272.7994165575133	best val: 2272.7994165575133	time (s) spent in epoch: 168.46184468269348
epoch: 3	train ppl: 723.6939961987326	val ppl: 599.6526628699114	best val: 599.6526628699114	time (s) spent in epoch: 169.11984014511108
epoch: 4	train ppl: 548.9032973075142	val ppl: 632.6836181077302	best val: 599.6526628699114	time (s) spent in epoch: 169.33069038391113
epoch: 5	train ppl: 442.66426638302875	val ppl: 374.00791039332876	best val: 374.00791039332876	time (s) spent in epoch: 169.24138116836548
epoch: 6	train ppl: 369.60410020212504	val ppl: 378.57686468670465	best val: 374.00791039332876	time (s) spent in epoch: 169.59622716903687
epoch: 7	train ppl: 315.11748886896623	val ppl: 292.60842237900636	best val: 292.60842237900636	time (s) spent in epoch: 169.23548793792725
epoch: 8	train ppl: 267.0793751370737	val ppl: 295.0685226141801	best val: 292.60842237900636	time (s) spent in epoch: 169.33047819137573
epoch: 9	train ppl: 239.2857792378021	val ppl: 226.71742438868654	best val: 226.71742438868654	time (s) spent in epoch: 169.25343489646912
epoch: 10	train ppl: 216.58985437380107	val ppl: 234.44214523683036	best val: 226.71742438868654	time (s) spent in epoch: 169.27303504943848
epoch: 11	train ppl: 193.75110675062302	val ppl: 243.25295816050755	best val: 226.71742438868654	time (s) spent in epoch: 169.42136764526367
epoch: 12	train ppl: 176.21233516542776	val ppl: 223.03011789242314	best val: 223.03011789242314	time (s) spent in epoch: 169.04811072349548
epoch: 13	train ppl: 160.10591968363815	val ppl: 206.24383911173592	best val: 206.24383911173592	time (s) spent in epoch: 169.07212233543396
epoch: 14	train ppl: 145.44146435086896	val ppl: 215.99935748289352	best val: 206.24383911173592	time (s) spent in epoch: 169.12686824798584
epoch: 15	train ppl: 131.9357260468707	val ppl: 204.72526772825003	best val: 204.72526772825003	time (s) spent in epoch: 169.26709175109863
epoch: 16	train ppl: 123.51664918184738	val ppl: 195.8146429116568	best val: 195.8146429116568	time (s) spent in epoch: 169.32324028015137
epoch: 17	train ppl: 114.19485530855204	val ppl: 178.0778185816339	best val: 178.0778185816339	time (s) spent in epoch: 169.3727617263794
epoch: 18	train ppl: 107.39255503596297	val ppl: 174.01836722922664	best val: 174.01836722922664	time (s) spent in epoch: 169.16437578201294
epoch: 19	train ppl: 99.80428007059226	val ppl: 193.12490681049965	best val: 174.01836722922664	time (s) spent in epoch: 169.11287117004395
epoch: 20	train ppl: 93.706808488324	val ppl: 169.88911039749672	best val: 169.88911039749672	time (s) spent in epoch: 169.92219853401184
epoch: 21	train ppl: 88.14720187169534	val ppl: 167.5422734889728	best val: 167.5422734889728	time (s) spent in epoch: 169.92349696159363
epoch: 22	train ppl: 82.19682177095711	val ppl: 173.60418660761664	best val: 167.5422734889728	time (s) spent in epoch: 169.45708060264587
epoch: 23	train ppl: 76.58065526072706	val ppl: 166.89505659211434	best val: 166.89505659211434	time (s) spent in epoch: 169.08544492721558
epoch: 24	train ppl: 73.39912467071771	val ppl: 168.51623598664915	best val: 166.89505659211434	time (s) spent in epoch: 169.19826459884644
epoch: 25	train ppl: 66.87701571425373	val ppl: 192.59318653089596	best val: 166.89505659211434	time (s) spent in epoch: 169.68593287467957
epoch: 26	train ppl: 64.41766357645284	val ppl: 193.08248715801537	best val: 166.89505659211434	time (s) spent in epoch: 169.80484652519226
epoch: 27	train ppl: 59.25334779560544	val ppl: 179.5731262969907	best val: 166.89505659211434	time (s) spent in epoch: 168.78093147277832
epoch: 28	train ppl: 56.15035814784351	val ppl: 198.76103236637832	best val: 166.89505659211434	time (s) spent in epoch: 167.85509848594666
epoch: 29	train ppl: 52.64318279202758	val ppl: 202.91787916946774	best val: 166.89505659211434	time (s) spent in epoch: 167.2114384174347
epoch: 30	train ppl: 49.738443288954606	val ppl: 204.0058991849301	best val: 166.89505659211434	time (s) spent in epoch: 165.3015582561493
epoch: 31	train ppl: 45.06600813692197	val ppl: 199.26146593981443	best val: 166.89505659211434	time (s) spent in epoch: 164.80203008651733
epoch: 32	train ppl: 43.08311488466026	val ppl: 354.9651616817267	best val: 166.89505659211434	time (s) spent in epoch: 164.25410652160645
epoch: 33	train ppl: 40.40270618239977	val ppl: 215.91487823756205	best val: 166.89505659211434	time (s) spent in epoch: 163.93033123016357
epoch: 34	train ppl: 38.50842246822198	val ppl: 225.1379772279614	best val: 166.89505659211434	time (s) spent in epoch: 162.96085166931152
epoch: 35	train ppl: 36.38436304491528	val ppl: 229.32295218702012	best val: 166.89505659211434	time (s) spent in epoch: 162.97078919410706
epoch: 36	train ppl: 33.900442249402694	val ppl: 263.47807793528995	best val: 166.89505659211434	time (s) spent in epoch: 162.91742873191833
epoch: 37	train ppl: 31.350173135468342	val ppl: 279.45428688753896	best val: 166.89505659211434	time (s) spent in epoch: 162.89524292945862
epoch: 38	train ppl: 30.003980125982114	val ppl: 254.5795741113594	best val: 166.89505659211434	time (s) spent in epoch: 162.9433033466339
epoch: 39	train ppl: 27.713394819208755	val ppl: 294.69239980726456	best val: 166.89505659211434	time (s) spent in epoch: 162.98935675621033
